t	tintnext	sstore	sstored	stry	sdid	snext
0.0000002	0.001	0.001	0.005			
0.0010002	0.005	0.005	0.025			
0.0060002	0.025	0.025	0.125			
0.0310002	0.125	0.125	0.625			
0.156	0.625	0.625	0.657596			
0.781	0.657596	0.549787	0.594573			
1.33079	0.594573	0.594573	0.6478			
1.92536	0.6478	0.6478	0.818345			
2.57316	0.818345	0.818345	1.0681			
3.39151	1.0681	1.0681	1.37374			
4.4596	1.37374	1.37374	1.74029			
5.83334	1.74029	1.74029	2.05218			
7.57363	2.05218	1.75963	1.82437			
9.33326	1.82437	1.01219	1.218			
10.3454	1.218	1.218	1.47562			
11.5634	1.47562	1.47562	1.4176			
13.0391	1.4176	1.05136	1.1417			
14.0904	1.1417	1.1417	1.35477			
15.2321	1.35477	1.35477	1.43415			
16.5869	1.43415	1.21795	1.26263			
17.8048	1.26263	1.26263	1.25812			
19.0675	1.25812	1.25812	1.20457			
20.3256	1.20457	1.20457	1.16777			
21.5302	1.16777	1.16777	1.19923			
22.6979	1.19923	1.19923	1.27372			
23.8972	1.27372	1.27372	1.30126			
25.1709	1.30126	1.30126	1.23497			
26.4721	1.23497	1.23497	1.15214			
27.7071	1.15214	1.15214	1.15622			
28.8592	1.15622	1.15622	1.25817			
30.0155	1.25817	1.25817	1.34678			
31.2736	1.34678	1.34678	1.29195			
32.6204	1.29195	1.14547	1.16941			
33.7659	1.16941	1.16941	1.27715			
34.9353	1.27715	1.27715	1.34363			
36.2124	1.34363	1.34363	1.26273			
37.5561	1.26273	1.12257	1.14491			
38.6786	1.14491	1.14491	1.27758			
39.8236	1.27758	1.27758	1.3699			
41.1011	1.3699	1.3699	1.27475			
42.471	1.27475	1.08831	1.12566			
43.5593	1.12566	1.12566	1.29329			
44.685	1.29329	1.29329	1.39879			
45.9783	1.39879	1.39879	1.26549			
47.3771	1.26549	1.03378	1.08559			
48.4109	1.08559	1.08559	1.31047			
49.4965	1.31047	1.31047	1.45515			
50.8069	1.45515	0.556909	0.631167			
51.3638	0.631167	0.390615	0.354865			
51.7545	0.354865	0.354865	0.722099			
52.1093	0.722099	0.722099	0.834257			
52.8314	0.834257	0.834257	1.22456			
53.6657	1.22456	1.22456	1.68281			
54.8902	1.68281	1.68281	1.53407			
56.573	1.53407	0.883262	1.04782			
57.4563	1.04782	1.04782	1.42406			
58.5041	1.42406	1.42406	1.57741			
59.9282	1.57741	1.14015	1.25243			
61.0683	1.25243	1.25243	1.27338			
62.3208	1.27338	1.27338	1.1493			
63.5942	1.1493	1.02536	1.04444			
64.6195	1.04444	1.04444	1.2141			
65.664	1.2141	1.2141	1.34663			
66.878	1.34663	1.34663	1.22613			
68.2247	1.22613	0.96824	1.02902			
69.1929	1.02902	1.02902	1.25022			
70.2219	1.25022	1.25022	1.37553			
71.4722	1.37553	1.16488	1.2097			
72.637	1.2097	1.2097	1.14493			
73.8467	1.14493	1.14493	1.03854			
74.9917	1.03854	1.03854	1.01525			
76.0302	1.01525	1.01525	1.11073			
