RunId	Identifier	Default	Value	Difference	-1
-1
1		0.366024	0.00609666	0.359927	-1
1		4.10222	0.0478965	4.05432	-1
1		0.848485	0.00413697	0.844348	-1
1		0.000690958	3.65239e-005	0.000654434	-1
1		6.6665	3.37866	3.28784	-1
1		6.91704	11.6569	-4.73986	-1
1		6.16687	0.244886	5.92198	-1
1		0.419992	0.0127278	0.407264	-1
1		0.0613011	0.00206263	0.0592385	-1
1		0.336682	0.0188717	0.31781	-1
1		2.02593	1.8808	0.14513	-1
1		0.00618313	0.000340934	0.0058422	-1
1		0.000308909	1.68532e-005	0.000292056	-1
1		3.60854e-005	1.6877e-006	3.43977e-005	-1
1		0.01658	0.00040319	0.0161768	-1
1		0.00164675	3.92877e-005	0.00160746	-1
1		0.000246188	5.70935e-006	0.000240479	-1
1		0.419656	0.122963	0.296693	-1
1		0.0622182	0.0174495	0.0447687	-1
1		0.010485	0.00303843	0.00744657	-1
1		0.0438986	0.00126899	0.0426296	-1
1		0.0030729	8.88295e-005	0.00298407	-1
1		0.000438986	1.26899e-005	0.000426296	-1
1		2.22476	0.0437768	2.18098	-1
1		0.902286	0.0315172	0.870769	-1
1		0.222476	0.00442711	0.218049	-1
1		0.0902286	0.00321777	0.0870108	-1
1		0.0489448	0.000960253	0.0479845	-1
1		0.0198503	0.000689218	0.0191611	-1
1		0.000247524	0.000244021	3.503e-006	-1
1		0.20993	0.00448356	0.205446	-1
1		0.0951569	0.0199878	0.0751691	-1
1		0.0518355	0.00398183	0.0478537	-1
1		2.72036	1.17883	1.54153	-1
1		481.77	49.3701	432.4	-1
1		28.6447	1.24226	27.4024	-1
1		4.05956	0.179405	3.88016	-1
1		32.8693	9.04405	23.8253	-1
1		6811.77	2922.43	3889.34	-1
1		340.739	87.3245	253.414	-1
1		45.916	9.58959	36.3264	-1
1		26171.9	33889	-7717.1	-1
1		0.00846761	0.000500987	0.00796662	-1
1		0.00042315	2.47344e-005	0.000398416	-1
1		4.87493e-005	2.47852e-006	4.62708e-005	-1
1		0.0108474	0.000278883	0.0105685	-1
1		0.00106509	2.65268e-005	0.00103856	-1
1		0.000158797	3.76431e-006	0.000155033	-1
1		0.0429925	0.0129563	0.0300362	-1
1		0.00633354	0.00181829	0.00451525	-1
1		0.00107212	0.000319316	0.000752804	-1
1		0.0469937	100	-99.953	-1
1		0.00164117	0.00175766	-0.00011649	-1
1		0.000164088	0.000175735	-1.1647e-005	-1
1		2.91398	0.60132	2.31266	-1
1		0.203978	0.0420924	0.161886	-1
1		0.0291398	0.0060132	0.0231266	-1
1		5	3.84865	1.15135	-1
1		0.42609	0.00600606	0.420084	-1
1		4.10144	0.0453714	4.05607	-1
1		0.839063	0.00360102	0.835462	-1
1		0.000257388	7.02713e-006	0.000250361	-1
1		6.54808	3.36502	3.18306	-1
1		9.94226	12.3486	-2.40634	-1
1		6.15446	0.19883	5.95563	-1
1		0.422563	0.0107471	0.411816	-1
1		0.0614683	0.00174397	0.0597243	-1
1		0.328126	0.0139001	0.314226	-1
1		0.665416	0.60856	0.056856	-1
1		0.0153058	0.000782094	0.0145237	-1
1		0.000749939	3.10909e-005	0.000718848	-1
1		9.11694e-005	3.03903e-006	8.81304e-005	-1
1		0.0282398	0.000634716	0.0276051	-1
1		0.00251493	4.77545e-005	0.00246718	-1
1		0.00036937	6.26041e-006	0.00036311	-1
1		0.439664	0.133003	0.306661	-1
1		0.0611171	0.0170507	0.0440664	-1
1		0.0106432	0.00312485	0.00751835	-1
1		0.0448336	0.00348191	0.0413517	-1
1		0.00313835	0.000243734	0.00289462	-1
1		0.000448336	3.48191e-005	0.000413517	-1
1		1e-029	0.001	-0.001	-1
1		8.90562e-031	7.52376e-005	-7.52376e-005	-1
1		1.30798e-031	9.86332e-006	-9.86332e-006	-1
1		33594	36887.8	-3293.8	-1
1		444.908	89.8814	355.027	-1
1		66.6182	11.0949	55.5233	-1
1		137.204	59.9003	77.3037	-1
1		121.292	178.864	-57.572	-1
1	_mMixDepth_	4.5	-99999	100004	-1
1	_mPLoadEpi_	0.005	0.001	0.004	-1
-1
2		2	15	-13	-1
2		1.5	4.5	-3	-1
2		1e-029	0.001	-0.001	-1
2		8.90562e-031	8.90562e-005	-8.90562e-005	-1
2		1.30798e-031	1.30798e-005	-1.30798e-005	-1
2		2	15	-13	-1
2	_InclStrat_	0	1	-1	-1
2	_calcMixDepth_	0	1	-1	-1
2	_cDepthWInit0_	2	15	-13	-1
2	_cMixDepth_	1.5	4.5	-3	-1
-1
3		2	15	-13	-1
